ano,data,descricao,dia_da_semana
2058,2058-01-01,Confraternização Universal,terça-feira
2058,2058-02-25,Carnaval,segunda-feira
2058,2058-02-26,Carnaval,terça-feira
2058,2058-04-12,Paixão de Cristo,sexta-feira
2058,2058-04-21,Tiradentes,domingo
2058,2058-05-01,Dia do Trabalho,quarta-feira
2058,2058-06-13,Corpus Christi,quinta-feira
2058,2058-09-07,Independência do Brasil,sábado
2058,2058-11-02,Finados,sábado
2058,2058-11-15,Proclamação da República,sexta-feira
2058,2058-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2058,2058-12-25,Natal,quarta-feira
