ano,data,descricao,dia_da_semana
2065,2065-01-01,Confraternização Universal,quinta-feira
2065,2065-02-09,Carnaval,segunda-feira
2065,2065-02-10,Carnaval,terça-feira
2065,2065-03-27,Paixão de Cristo,sexta-feira
2065,2065-04-21,Tiradentes,terça-feira
2065,2065-05-01,Dia do Trabalho,sexta-feira
2065,2065-05-28,Corpus Christi,quinta-feira
2065,2065-09-07,Independência do Brasil,segunda-feira
2065,2065-11-02,Finados,segunda-feira
2065,2065-11-15,Proclamação da República,domingo
2065,2065-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2065,2065-12-25,Natal,sexta-feira
