ano,data,descricao,dia_da_semana
2016,2016-01-01,Confraternização Universal,sexta-feira
2016,2016-02-08,Carnaval,segunda-feira
2016,2016-02-09,Carnaval,terça-feira
2016,2016-03-25,Paixão de Cristo,sexta-feira
2016,2016-04-21,Tiradentes,quinta-feira
2016,2016-05-01,Dia do Trabalho,domingo
2016,2016-05-26,Corpus Christi,quinta-feira
2016,2016-09-07,Independência do Brasil,quarta-feira
2016,2016-11-02,Finados,quarta-feira
2016,2016-11-15,Proclamação da República,terça-feira
2016,2016-12-25,Natal,domingo
