ano,data,descricao,dia_da_semana
2027,2027-01-01,Confraternização Universal,sexta-feira
2027,2027-02-08,Carnaval,segunda-feira
2027,2027-02-09,Carnaval,terça-feira
2027,2027-03-26,Paixão de Cristo,sexta-feira
2027,2027-04-21,Tiradentes,quarta-feira
2027,2027-05-01,Dia do Trabalho,sábado
2027,2027-05-27,Corpus Christi,quinta-feira
2027,2027-09-07,Independência do Brasil,terça-feira
2027,2027-11-02,Finados,terça-feira
2027,2027-11-15,Proclamação da República,segunda-feira
2027,2027-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2027,2027-12-25,Natal,sábado
