ano,data,descricao,dia_da_semana
2068,2068-01-01,Confraternização Universal,domingo
2068,2068-03-05,Carnaval,segunda-feira
2068,2068-03-06,Carnaval,terça-feira
2068,2068-04-20,Paixão de Cristo,sexta-feira
2068,2068-04-21,Tiradentes,sábado
2068,2068-05-01,Dia do Trabalho,terça-feira
2068,2068-06-21,Corpus Christi,quinta-feira
2068,2068-09-07,Independência do Brasil,sexta-feira
2068,2068-11-02,Finados,sexta-feira
2068,2068-11-15,Proclamação da República,quinta-feira
2068,2068-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2068,2068-12-25,Natal,terça-feira
