ano,data,descricao,dia_da_semana
2086,1986-01-01,Confraternização Universal,terça-feira
2086,1986-02-11,Carnaval,segunda-feira
2086,1986-02-12,Carnaval,terça-feira
2086,1986-03-29,Paixão de Cristo,sexta-feira
2086,1986-04-21,Tiradentes,domingo
2086,1986-05-01,Dia do Trabalho,quarta-feira
2086,1986-05-30,Corpus Christi,quinta-feira
2086,1986-09-07,Independência do Brasil,sábado
2086,1986-11-02,Finados,sábado
2086,1986-11-15,Proclamação da República,sexta-feira
2086,1986-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2086,1986-12-25,Natal,quarta-feira
