ano,data,descricao,dia_da_semana
2012,2012-01-01,Confraternização Universal,domingo
2012,2012-02-20,Carnaval,segunda-feira
2012,2012-02-21,Carnaval,terça-feira
2012,2012-04-06,Paixão de Cristo,sexta-feira
2012,2012-04-21,Tiradentes,sábado
2012,2012-05-01,Dia do Trabalho,terça-feira
2012,2012-06-07,Corpus Christi,quinta-feira
2012,2012-09-07,Independência do Brasil,sexta-feira
2012,2012-11-02,Finados,sexta-feira
2012,2012-11-15,Proclamação da República,quinta-feira
2012,2012-12-25,Natal,terça-feira
