ano,data,descricao,dia_da_semana
2089,1989-01-01,Confraternização Universal,sábado
2089,1989-02-14,Carnaval,segunda-feira
2089,1989-02-15,Carnaval,terça-feira
2089,1989-04-01,Paixão de Cristo,sexta-feira
2089,1989-04-21,Tiradentes,quinta-feira
2089,1989-05-01,Dia do Trabalho,domingo
2089,1989-06-02,Corpus Christi,quinta-feira
2089,1989-09-07,Independência do Brasil,quarta-feira
2089,1989-11-02,Finados,quarta-feira
2089,1989-11-15,Proclamação da República,terça-feira
2089,1989-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2089,1989-12-25,Natal,domingo
