ano,data,descricao,dia_da_semana
2050,2050-01-01,Confraternização Universal,sábado
2050,2050-02-21,Carnaval,segunda-feira
2050,2050-02-22,Carnaval,terça-feira
2050,2050-04-08,Paixão de Cristo,sexta-feira
2050,2050-04-21,Tiradentes,quinta-feira
2050,2050-05-01,Dia do Trabalho,domingo
2050,2050-06-09,Corpus Christi,quinta-feira
2050,2050-09-07,Independência do Brasil,quarta-feira
2050,2050-11-02,Finados,quarta-feira
2050,2050-11-15,Proclamação da República,terça-feira
2050,2050-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2050,2050-12-25,Natal,domingo
