ano,data,descricao,dia_da_semana
2038,2038-01-01,Confraternização Universal,sexta-feira
2038,2038-03-08,Carnaval,segunda-feira
2038,2038-03-09,Carnaval,terça-feira
2038,2038-04-21,Tiradentes,quarta-feira
2038,2038-04-23,Paixão de Cristo,sexta-feira
2038,2038-05-01,Dia do Trabalho,sábado
2038,2038-06-24,Corpus Christi,quinta-feira
2038,2038-09-07,Independência do Brasil,terça-feira
2038,2038-11-02,Finados,terça-feira
2038,2038-11-15,Proclamação da República,segunda-feira
2038,2038-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2038,2038-12-25,Natal,sábado
