ano,data,descricao,dia_da_semana
2032,2032-01-01,Confraternização Universal,quinta-feira
2032,2032-02-09,Carnaval,segunda-feira
2032,2032-02-10,Carnaval,terça-feira
2032,2032-03-26,Paixão de Cristo,sexta-feira
2032,2032-04-21,Tiradentes,quarta-feira
2032,2032-05-01,Dia do Trabalho,sábado
2032,2032-05-27,Corpus Christi,quinta-feira
2032,2032-09-07,Independência do Brasil,terça-feira
2032,2032-11-02,Finados,terça-feira
2032,2032-11-15,Proclamação da República,segunda-feira
2032,2032-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2032,2032-12-25,Natal,sábado
