ano,data,descricao,dia_da_semana
2001,2001-01-01,Confraternização Universal,segunda-feira
2001,2001-02-26,Carnaval,segunda-feira
2001,2001-02-27,Carnaval,terça-feira
2001,2001-04-13,Paixão de Cristo,sexta-feira
2001,2001-04-21,Tiradentes,sábado
2001,2001-05-01,Dia do Trabalho,terça-feira
2001,2001-06-14,Corpus Christi,quinta-feira
2001,2001-09-07,Independência do Brasil,sexta-feira
2001,2001-11-02,Finados,sexta-feira
2001,2001-11-15,Proclamação da República,quinta-feira
2001,2001-12-25,Natal,terça-feira
