ano,data,descricao,dia_da_semana
2077,1977-01-01,Confraternização Universal,sexta-feira
2077,1977-02-22,Carnaval,segunda-feira
2077,1977-02-23,Carnaval,terça-feira
2077,1977-04-09,Paixão de Cristo,sexta-feira
2077,1977-04-21,Tiradentes,quarta-feira
2077,1977-05-01,Dia do Trabalho,sábado
2077,1977-06-10,Corpus Christi,quinta-feira
2077,1977-09-07,Independência do Brasil,terça-feira
2077,1977-11-02,Finados,terça-feira
2077,1977-11-15,Proclamação da República,segunda-feira
2077,1977-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2077,1977-12-25,Natal,sábado
