ano,data,descricao,dia_da_semana
2035,2035-01-01,Confraternização Universal,segunda-feira
2035,2035-02-05,Carnaval,segunda-feira
2035,2035-02-06,Carnaval,terça-feira
2035,2035-03-23,Paixão de Cristo,sexta-feira
2035,2035-04-21,Tiradentes,sábado
2035,2035-05-01,Dia do Trabalho,terça-feira
2035,2035-05-24,Corpus Christi,quinta-feira
2035,2035-09-07,Independência do Brasil,sexta-feira
2035,2035-11-02,Finados,sexta-feira
2035,2035-11-15,Proclamação da República,quinta-feira
2035,2035-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2035,2035-12-25,Natal,terça-feira
