ano,data,descricao,dia_da_semana
2020,2020-01-01,Confraternização Universal,quarta-feira
2020,2020-02-24,Carnaval,segunda-feira
2020,2020-02-25,Carnaval,terça-feira
2020,2020-04-10,Paixão de Cristo,sexta-feira
2020,2020-04-21,Tiradentes,terça-feira
2020,2020-05-01,Dia do Trabalho,sexta-feira
2020,2020-06-11,Corpus Christi,quinta-feira
2020,2020-09-07,Independência do Brasil,segunda-feira
2020,2020-11-02,Finados,segunda-feira
2020,2020-11-15,Proclamação da República,domingo
2020,2020-12-25,Natal,sexta-feira
