ano,data,descricao,dia_da_semana
2028,2028-01-01,Confraternização Universal,sábado
2028,2028-02-28,Carnaval,segunda-feira
2028,2028-02-29,Carnaval,terça-feira
2028,2028-04-14,Paixão de Cristo,sexta-feira
2028,2028-04-21,Tiradentes,sexta-feira
2028,2028-05-01,Dia do Trabalho,segunda-feira
2028,2028-06-15,Corpus Christi,quinta-feira
2028,2028-09-07,Independência do Brasil,quinta-feira
2028,2028-11-02,Finados,quinta-feira
2028,2028-11-15,Proclamação da República,quarta-feira
2028,2028-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2028,2028-12-25,Natal,segunda-feira
