ano,data,descricao,dia_da_semana
2084,1984-01-01,Confraternização Universal,sábado
2084,1984-02-07,Carnaval,segunda-feira
2084,1984-02-08,Carnaval,terça-feira
2084,1984-03-24,Paixão de Cristo,sexta-feira
2084,1984-04-21,Tiradentes,sexta-feira
2084,1984-05-01,Dia do Trabalho,segunda-feira
2084,1984-05-25,Corpus Christi,quinta-feira
2084,1984-09-07,Independência do Brasil,quinta-feira
2084,1984-11-02,Finados,quinta-feira
2084,1984-11-15,Proclamação da República,quarta-feira
2084,1984-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2084,1984-12-25,Natal,segunda-feira
