ano,data,descricao,dia_da_semana
2057,2057-01-01,Confraternização Universal,segunda-feira
2057,2057-03-05,Carnaval,segunda-feira
2057,2057-03-06,Carnaval,terça-feira
2057,2057-04-20,Paixão de Cristo,sexta-feira
2057,2057-04-21,Tiradentes,sábado
2057,2057-05-01,Dia do Trabalho,terça-feira
2057,2057-06-21,Corpus Christi,quinta-feira
2057,2057-09-07,Independência do Brasil,sexta-feira
2057,2057-11-02,Finados,sexta-feira
2057,2057-11-15,Proclamação da República,quinta-feira
2057,2057-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2057,2057-12-25,Natal,terça-feira
