ano,data,descricao,dia_da_semana
2043,2043-01-01,Confraternização Universal,quinta-feira
2043,2043-02-09,Carnaval,segunda-feira
2043,2043-02-10,Carnaval,terça-feira
2043,2043-03-27,Paixão de Cristo,sexta-feira
2043,2043-04-21,Tiradentes,terça-feira
2043,2043-05-01,Dia do Trabalho,sexta-feira
2043,2043-05-28,Corpus Christi,quinta-feira
2043,2043-09-07,Independência do Brasil,segunda-feira
2043,2043-11-02,Finados,segunda-feira
2043,2043-11-15,Proclamação da República,domingo
2043,2043-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2043,2043-12-25,Natal,sexta-feira
