ano,data,descricao,dia_da_semana
2021,2021-01-01,Confraternização Universal,sexta-feira
2021,2021-02-15,Carnaval,segunda-feira
2021,2021-02-16,Carnaval,terça-feira
2021,2021-04-02,Paixão de Cristo,sexta-feira
2021,2021-04-21,Tiradentes,quarta-feira
2021,2021-05-01,Dia do Trabalho,sábado
2021,2021-06-03,Corpus Christi,quinta-feira
2021,2021-09-07,Independência do Brasil,terça-feira
2021,2021-11-02,Finados,terça-feira
2021,2021-11-15,Proclamação da República,segunda-feira
2021,2021-12-25,Natal,sábado
