ano,data,descricao,dia_da_semana
2051,2051-01-01,Confraternização Universal,domingo
2051,2051-02-13,Carnaval,segunda-feira
2051,2051-02-14,Carnaval,terça-feira
2051,2051-03-31,Paixão de Cristo,sexta-feira
2051,2051-04-21,Tiradentes,sexta-feira
2051,2051-05-01,Dia do Trabalho,segunda-feira
2051,2051-06-01,Corpus Christi,quinta-feira
2051,2051-09-07,Independência do Brasil,quinta-feira
2051,2051-11-02,Finados,quinta-feira
2051,2051-11-15,Proclamação da República,quarta-feira
2051,2051-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2051,2051-12-25,Natal,segunda-feira
