ano,data,descricao,dia_da_semana
2083,1983-01-01,Confraternização Universal,sexta-feira
2083,1983-02-15,Carnaval,segunda-feira
2083,1983-02-16,Carnaval,terça-feira
2083,1983-04-02,Paixão de Cristo,sexta-feira
2083,1983-04-21,Tiradentes,quarta-feira
2083,1983-05-01,Dia do Trabalho,sábado
2083,1983-06-03,Corpus Christi,quinta-feira
2083,1983-09-07,Independência do Brasil,terça-feira
2083,1983-11-02,Finados,terça-feira
2083,1983-11-15,Proclamação da República,segunda-feira
2083,1983-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2083,1983-12-25,Natal,sábado
