ano,data,descricao,dia_da_semana
2046,2046-01-01,Confraternização Universal,segunda-feira
2046,2046-02-05,Carnaval,segunda-feira
2046,2046-02-06,Carnaval,terça-feira
2046,2046-03-23,Paixão de Cristo,sexta-feira
2046,2046-04-21,Tiradentes,sábado
2046,2046-05-01,Dia do Trabalho,terça-feira
2046,2046-05-24,Corpus Christi,quinta-feira
2046,2046-09-07,Independência do Brasil,sexta-feira
2046,2046-11-02,Finados,sexta-feira
2046,2046-11-15,Proclamação da República,quinta-feira
2046,2046-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2046,2046-12-25,Natal,terça-feira
