ano,data,descricao,dia_da_semana
2052,2052-01-01,Confraternização Universal,segunda-feira
2052,2052-03-04,Carnaval,segunda-feira
2052,2052-03-05,Carnaval,terça-feira
2052,2052-04-19,Paixão de Cristo,sexta-feira
2052,2052-04-21,Tiradentes,domingo
2052,2052-05-01,Dia do Trabalho,quarta-feira
2052,2052-06-20,Corpus Christi,quinta-feira
2052,2052-09-07,Independência do Brasil,sábado
2052,2052-11-02,Finados,sábado
2052,2052-11-15,Proclamação da República,sexta-feira
2052,2052-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2052,2052-12-25,Natal,quarta-feira
