ano,data,descricao,dia_da_semana
2061,2061-01-01,Confraternização Universal,sábado
2061,2061-02-21,Carnaval,segunda-feira
2061,2061-02-22,Carnaval,terça-feira
2061,2061-04-08,Paixão de Cristo,sexta-feira
2061,2061-04-21,Tiradentes,quinta-feira
2061,2061-05-01,Dia do Trabalho,domingo
2061,2061-06-09,Corpus Christi,quinta-feira
2061,2061-09-07,Independência do Brasil,quarta-feira
2061,2061-11-02,Finados,quarta-feira
2061,2061-11-15,Proclamação da República,terça-feira
2061,2061-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2061,2061-12-25,Natal,domingo
