ano,data,descricao,dia_da_semana
2018,2018-01-01,Confraternização Universal,segunda-feira
2018,2018-02-12,Carnaval,segunda-feira
2018,2018-02-13,Carnaval,terça-feira
2018,2018-03-30,Paixão de Cristo,sexta-feira
2018,2018-04-21,Tiradentes,sábado
2018,2018-05-01,Dia do Trabalho,terça-feira
2018,2018-05-31,Corpus Christi,quinta-feira
2018,2018-09-07,Independência do Brasil,sexta-feira
2018,2018-11-02,Finados,sexta-feira
2018,2018-11-15,Proclamação da República,quinta-feira
2018,2018-12-25,Natal,terça-feira
