ano,data,descricao,dia_da_semana
2069,2069-01-01,Confraternização Universal,terça-feira
2069,2069-02-25,Carnaval,segunda-feira
2069,2069-02-26,Carnaval,terça-feira
2069,2069-04-12,Paixão de Cristo,sexta-feira
2069,2069-04-21,Tiradentes,domingo
2069,2069-05-01,Dia do Trabalho,quarta-feira
2069,2069-06-13,Corpus Christi,quinta-feira
2069,2069-09-07,Independência do Brasil,sábado
2069,2069-11-02,Finados,sábado
2069,2069-11-15,Proclamação da República,sexta-feira
2069,2069-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2069,2069-12-25,Natal,quarta-feira
