ano,data,descricao,dia_da_semana
2095,1995-01-01,Confraternização Universal,sábado
2095,1995-03-07,Carnaval,segunda-feira
2095,1995-03-08,Carnaval,terça-feira
2095,1995-04-21,Tiradentes,quinta-feira
2095,1995-04-22,Paixão de Cristo,sexta-feira
2095,1995-05-01,Dia do Trabalho,domingo
2095,1995-06-23,Corpus Christi,quinta-feira
2095,1995-09-07,Independência do Brasil,quarta-feira
2095,1995-11-02,Finados,quarta-feira
2095,1995-11-15,Proclamação da República,terça-feira
2095,1995-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2095,1995-12-25,Natal,domingo
