ano,data,descricao,dia_da_semana
2034,2034-01-01,Confraternização Universal,domingo
2034,2034-02-20,Carnaval,segunda-feira
2034,2034-02-21,Carnaval,terça-feira
2034,2034-04-07,Paixão de Cristo,sexta-feira
2034,2034-04-21,Tiradentes,sexta-feira
2034,2034-05-01,Dia do Trabalho,segunda-feira
2034,2034-06-08,Corpus Christi,quinta-feira
2034,2034-09-07,Independência do Brasil,quinta-feira
2034,2034-11-02,Finados,quinta-feira
2034,2034-11-15,Proclamação da República,quarta-feira
2034,2034-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2034,2034-12-25,Natal,segunda-feira
