ano,data,descricao,dia_da_semana
2005,2005-01-01,Confraternização Universal,sábado
2005,2005-02-07,Carnaval,segunda-feira
2005,2005-02-08,Carnaval,terça-feira
2005,2005-03-25,Paixão de Cristo,sexta-feira
2005,2005-04-21,Tiradentes,quinta-feira
2005,2005-05-01,Dia do Trabalho,domingo
2005,2005-05-26,Corpus Christi,quinta-feira
2005,2005-09-07,Independência do Brasil,quarta-feira
2005,2005-11-02,Finados,quarta-feira
2005,2005-11-15,Proclamação da República,terça-feira
2005,2005-12-25,Natal,domingo
