ano,data,descricao,dia_da_semana
2097,1997-01-01,Confraternização Universal,terça-feira
2097,1997-02-11,Carnaval,segunda-feira
2097,1997-02-12,Carnaval,terça-feira
2097,1997-03-29,Paixão de Cristo,sexta-feira
2097,1997-04-21,Tiradentes,domingo
2097,1997-05-01,Dia do Trabalho,quarta-feira
2097,1997-05-30,Corpus Christi,quinta-feira
2097,1997-09-07,Independência do Brasil,sábado
2097,1997-11-02,Finados,sábado
2097,1997-11-15,Proclamação da República,sexta-feira
2097,1997-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2097,1997-12-25,Natal,quarta-feira
