ano,data,descricao,dia_da_semana
2009,2009-01-01,Confraternização Universal,quinta-feira
2009,2009-02-23,Carnaval,segunda-feira
2009,2009-02-24,Carnaval,terça-feira
2009,2009-04-10,Paixão de Cristo,sexta-feira
2009,2009-04-21,Tiradentes,terça-feira
2009,2009-05-01,Dia do Trabalho,sexta-feira
2009,2009-06-11,Corpus Christi,quinta-feira
2009,2009-09-07,Independência do Brasil,segunda-feira
2009,2009-11-02,Finados,segunda-feira
2009,2009-11-15,Proclamação da República,domingo
2009,2009-12-25,Natal,sexta-feira
