ano,data,descricao,dia_da_semana
2066,2066-01-01,Confraternização Universal,sexta-feira
2066,2066-02-22,Carnaval,segunda-feira
2066,2066-02-23,Carnaval,terça-feira
2066,2066-04-09,Paixão de Cristo,sexta-feira
2066,2066-04-21,Tiradentes,quarta-feira
2066,2066-05-01,Dia do Trabalho,sábado
2066,2066-06-10,Corpus Christi,quinta-feira
2066,2066-09-07,Independência do Brasil,terça-feira
2066,2066-11-02,Finados,terça-feira
2066,2066-11-15,Proclamação da República,segunda-feira
2066,2066-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2066,2066-12-25,Natal,sábado
