ano,data,descricao,dia_da_semana
2082,1982-01-01,Confraternização Universal,quinta-feira
2082,1982-03-02,Carnaval,segunda-feira
2082,1982-03-03,Carnaval,terça-feira
2082,1982-04-17,Paixão de Cristo,sexta-feira
2082,1982-04-21,Tiradentes,terça-feira
2082,1982-05-01,Dia do Trabalho,sexta-feira
2082,1982-06-18,Corpus Christi,quinta-feira
2082,1982-09-07,Independência do Brasil,segunda-feira
2082,1982-11-02,Finados,segunda-feira
2082,1982-11-15,Proclamação da República,domingo
2082,1982-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2082,1982-12-25,Natal,sexta-feira
