ano,data,descricao,dia_da_semana
2078,1978-01-01,Confraternização Universal,sábado
2078,1978-02-14,Carnaval,segunda-feira
2078,1978-02-15,Carnaval,terça-feira
2078,1978-04-01,Paixão de Cristo,sexta-feira
2078,1978-04-21,Tiradentes,quinta-feira
2078,1978-05-01,Dia do Trabalho,domingo
2078,1978-06-02,Corpus Christi,quinta-feira
2078,1978-09-07,Independência do Brasil,quarta-feira
2078,1978-11-02,Finados,quarta-feira
2078,1978-11-15,Proclamação da República,terça-feira
2078,1978-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2078,1978-12-25,Natal,domingo
