ano,data,descricao,dia_da_semana
2048,2048-01-01,Confraternização Universal,quarta-feira
2048,2048-02-17,Carnaval,segunda-feira
2048,2048-02-18,Carnaval,terça-feira
2048,2048-04-03,Paixão de Cristo,sexta-feira
2048,2048-04-21,Tiradentes,terça-feira
2048,2048-05-01,Dia do Trabalho,sexta-feira
2048,2048-06-04,Corpus Christi,quinta-feira
2048,2048-09-07,Independência do Brasil,segunda-feira
2048,2048-11-02,Finados,segunda-feira
2048,2048-11-15,Proclamação da República,domingo
2048,2048-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2048,2048-12-25,Natal,sexta-feira
