ano,data,descricao,dia_da_semana
2088,1988-01-01,Confraternização Universal,quinta-feira
2088,1988-02-23,Carnaval,segunda-feira
2088,1988-02-24,Carnaval,terça-feira
2088,1988-04-09,Paixão de Cristo,sexta-feira
2088,1988-04-21,Tiradentes,quarta-feira
2088,1988-05-01,Dia do Trabalho,sábado
2088,1988-06-10,Corpus Christi,quinta-feira
2088,1988-09-07,Independência do Brasil,terça-feira
2088,1988-11-02,Finados,terça-feira
2088,1988-11-15,Proclamação da República,segunda-feira
2088,1988-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2088,1988-12-25,Natal,sábado
