ano,data,descricao,dia_da_semana
2091,1991-01-01,Confraternização Universal,segunda-feira
2091,1991-02-19,Carnaval,segunda-feira
2091,1991-02-20,Carnaval,terça-feira
2091,1991-04-06,Paixão de Cristo,sexta-feira
2091,1991-04-21,Tiradentes,sábado
2091,1991-05-01,Dia do Trabalho,terça-feira
2091,1991-06-07,Corpus Christi,quinta-feira
2091,1991-09-07,Independência do Brasil,sexta-feira
2091,1991-11-02,Finados,sexta-feira
2091,1991-11-15,Proclamação da República,quinta-feira
2091,1991-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2091,1991-12-25,Natal,terça-feira
