ano,data,descricao,dia_da_semana
2079,1979-01-01,Confraternização Universal,domingo
2079,1979-03-06,Carnaval,segunda-feira
2079,1979-03-07,Carnaval,terça-feira
2079,1979-04-21,Paixão de Cristo,sexta-feira
2079,1979-04-21,Tiradentes,sexta-feira
2079,1979-05-01,Dia do Trabalho,segunda-feira
2079,1979-06-22,Corpus Christi,quinta-feira
2079,1979-09-07,Independência do Brasil,quinta-feira
2079,1979-11-02,Finados,quinta-feira
2079,1979-11-15,Proclamação da República,quarta-feira
2079,1979-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2079,1979-12-25,Natal,segunda-feira
