ano,data,descricao,dia_da_semana
2094,1994-01-01,Confraternização Universal,sexta-feira
2094,1994-02-15,Carnaval,segunda-feira
2094,1994-02-16,Carnaval,terça-feira
2094,1994-04-02,Paixão de Cristo,sexta-feira
2094,1994-04-21,Tiradentes,quarta-feira
2094,1994-05-01,Dia do Trabalho,sábado
2094,1994-06-03,Corpus Christi,quinta-feira
2094,1994-09-07,Independência do Brasil,terça-feira
2094,1994-11-02,Finados,terça-feira
2094,1994-11-15,Proclamação da República,segunda-feira
2094,1994-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2094,1994-12-25,Natal,sábado
