ano,data,descricao,dia_da_semana
2054,2054-01-01,Confraternização Universal,quinta-feira
2054,2054-02-09,Carnaval,segunda-feira
2054,2054-02-10,Carnaval,terça-feira
2054,2054-03-27,Paixão de Cristo,sexta-feira
2054,2054-04-21,Tiradentes,terça-feira
2054,2054-05-01,Dia do Trabalho,sexta-feira
2054,2054-05-28,Corpus Christi,quinta-feira
2054,2054-09-07,Independência do Brasil,segunda-feira
2054,2054-11-02,Finados,segunda-feira
2054,2054-11-15,Proclamação da República,domingo
2054,2054-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2054,2054-12-25,Natal,sexta-feira
