ano,data,descricao,dia_da_semana
2030,2030-01-01,Confraternização Universal,terça-feira
2030,2030-03-04,Carnaval,segunda-feira
2030,2030-03-05,Carnaval,terça-feira
2030,2030-04-19,Paixão de Cristo,sexta-feira
2030,2030-04-21,Tiradentes,domingo
2030,2030-05-01,Dia do Trabalho,quarta-feira
2030,2030-06-20,Corpus Christi,quinta-feira
2030,2030-09-07,Independência do Brasil,sábado
2030,2030-11-02,Finados,sábado
2030,2030-11-15,Proclamação da República,sexta-feira
2030,2030-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2030,2030-12-25,Natal,quarta-feira
