ano,data,descricao,dia_da_semana
2096,1996-01-01,Confraternização Universal,domingo
2096,1996-02-27,Carnaval,segunda-feira
2096,1996-02-28,Carnaval,terça-feira
2096,1996-04-13,Paixão de Cristo,sexta-feira
2096,1996-04-21,Tiradentes,sábado
2096,1996-05-01,Dia do Trabalho,terça-feira
2096,1996-06-14,Corpus Christi,quinta-feira
2096,1996-09-07,Independência do Brasil,sexta-feira
2096,1996-11-02,Finados,sexta-feira
2096,1996-11-15,Proclamação da República,quinta-feira
2096,1996-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2096,1996-12-25,Natal,terça-feira
