ano,data,descricao,dia_da_semana
2060,2060-01-01,Confraternização Universal,quinta-feira
2060,2060-03-01,Carnaval,segunda-feira
2060,2060-03-02,Carnaval,terça-feira
2060,2060-04-16,Paixão de Cristo,sexta-feira
2060,2060-04-21,Tiradentes,quarta-feira
2060,2060-05-01,Dia do Trabalho,sábado
2060,2060-06-17,Corpus Christi,quinta-feira
2060,2060-09-07,Independência do Brasil,terça-feira
2060,2060-11-02,Finados,terça-feira
2060,2060-11-15,Proclamação da República,segunda-feira
2060,2060-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2060,2060-12-25,Natal,sábado
