ano,data,descricao,dia_da_semana
2092,1992-01-01,Confraternização Universal,terça-feira
2092,1992-02-11,Carnaval,segunda-feira
2092,1992-02-12,Carnaval,terça-feira
2092,1992-03-28,Paixão de Cristo,sexta-feira
2092,1992-04-21,Tiradentes,segunda-feira
2092,1992-05-01,Dia do Trabalho,quinta-feira
2092,1992-05-29,Corpus Christi,quinta-feira
2092,1992-09-07,Independência do Brasil,domingo
2092,1992-11-02,Finados,domingo
2092,1992-11-15,Proclamação da República,sábado
2092,1992-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2092,1992-12-25,Natal,quinta-feira
