ano,data,descricao,dia_da_semana
2098,1998-01-01,Confraternização Universal,quarta-feira
2098,1998-03-03,Carnaval,segunda-feira
2098,1998-03-04,Carnaval,terça-feira
2098,1998-04-18,Paixão de Cristo,sexta-feira
2098,1998-04-21,Tiradentes,segunda-feira
2098,1998-05-01,Dia do Trabalho,quinta-feira
2098,1998-06-19,Corpus Christi,quinta-feira
2098,1998-09-07,Independência do Brasil,domingo
2098,1998-11-02,Finados,domingo
2098,1998-11-15,Proclamação da República,sábado
2098,1998-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2098,1998-12-25,Natal,quinta-feira
