ano,data,descricao,dia_da_semana
2064,2064-01-01,Confraternização Universal,terça-feira
2064,2064-02-18,Carnaval,segunda-feira
2064,2064-02-19,Carnaval,terça-feira
2064,2064-04-04,Paixão de Cristo,sexta-feira
2064,2064-04-21,Tiradentes,segunda-feira
2064,2064-05-01,Dia do Trabalho,quinta-feira
2064,2064-06-05,Corpus Christi,quinta-feira
2064,2064-09-07,Independência do Brasil,domingo
2064,2064-11-02,Finados,domingo
2064,2064-11-15,Proclamação da República,sábado
2064,2064-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2064,2064-12-25,Natal,quinta-feira
