ano,data,descricao,dia_da_semana
2015,2015-01-01,Confraternização Universal,quinta-feira
2015,2015-02-16,Carnaval,segunda-feira
2015,2015-02-17,Carnaval,terça-feira
2015,2015-04-03,Paixão de Cristo,sexta-feira
2015,2015-04-21,Tiradentes,terça-feira
2015,2015-05-01,Dia do Trabalho,sexta-feira
2015,2015-06-04,Corpus Christi,quinta-feira
2015,2015-09-07,Independência do Brasil,segunda-feira
2015,2015-11-02,Finados,segunda-feira
2015,2015-11-15,Proclamação da República,domingo
2015,2015-12-25,Natal,sexta-feira
