ano,data,descricao,dia_da_semana
2053,2053-01-01,Confraternização Universal,quarta-feira
2053,2053-02-17,Carnaval,segunda-feira
2053,2053-02-18,Carnaval,terça-feira
2053,2053-04-04,Paixão de Cristo,sexta-feira
2053,2053-04-21,Tiradentes,segunda-feira
2053,2053-05-01,Dia do Trabalho,quinta-feira
2053,2053-06-05,Corpus Christi,quinta-feira
2053,2053-09-07,Independência do Brasil,domingo
2053,2053-11-02,Finados,domingo
2053,2053-11-15,Proclamação da República,sábado
2053,2053-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2053,2053-12-25,Natal,quinta-feira
