ano,data,descricao,dia_da_semana
2093,1993-01-01,Confraternização Universal,quinta-feira
2093,1993-02-23,Carnaval,segunda-feira
2093,1993-02-24,Carnaval,terça-feira
2093,1993-04-10,Paixão de Cristo,sexta-feira
2093,1993-04-21,Tiradentes,terça-feira
2093,1993-05-01,Dia do Trabalho,sexta-feira
2093,1993-06-11,Corpus Christi,quinta-feira
2093,1993-09-07,Independência do Brasil,segunda-feira
2093,1993-11-02,Finados,segunda-feira
2093,1993-11-15,Proclamação da República,domingo
2093,1993-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2093,1993-12-25,Natal,sexta-feira
