ano,data,descricao,dia_da_semana
2076,1976-01-01,Confraternização Universal,quarta-feira
2076,1976-03-02,Carnaval,segunda-feira
2076,1976-03-03,Carnaval,terça-feira
2076,1976-04-17,Paixão de Cristo,sexta-feira
2076,1976-04-21,Tiradentes,terça-feira
2076,1976-05-01,Dia do Trabalho,sexta-feira
2076,1976-06-18,Corpus Christi,quinta-feira
2076,1976-09-07,Independência do Brasil,segunda-feira
2076,1976-11-02,Finados,segunda-feira
2076,1976-11-15,Proclamação da República,domingo
2076,1976-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2076,1976-12-25,Natal,sexta-feira
