ano,data,descricao,dia_da_semana
2026,2026-01-01,Confraternização Universal,quinta-feira
2026,2026-02-16,Carnaval,segunda-feira
2026,2026-02-17,Carnaval,terça-feira
2026,2026-04-03,Paixão de Cristo,sexta-feira
2026,2026-04-21,Tiradentes,terça-feira
2026,2026-05-01,Dia do Trabalho,sexta-feira
2026,2026-06-04,Corpus Christi,quinta-feira
2026,2026-09-07,Independência do Brasil,segunda-feira
2026,2026-11-02,Finados,segunda-feira
2026,2026-11-15,Proclamação da República,domingo
2026,2026-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2026,2026-12-25,Natal,sexta-feira
