ano,data,descricao,dia_da_semana
2049,2049-01-01,Confraternização Universal,sexta-feira
2049,2049-03-01,Carnaval,segunda-feira
2049,2049-03-02,Carnaval,terça-feira
2049,2049-04-16,Paixão de Cristo,sexta-feira
2049,2049-04-21,Tiradentes,quarta-feira
2049,2049-05-01,Dia do Trabalho,sábado
2049,2049-06-17,Corpus Christi,quinta-feira
2049,2049-09-07,Independência do Brasil,terça-feira
2049,2049-11-02,Finados,terça-feira
2049,2049-11-15,Proclamação da República,segunda-feira
2049,2049-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2049,2049-12-25,Natal,sábado
