ano,data,descricao,dia_da_semana
2080,1980-01-01,Confraternização Universal,segunda-feira
2080,1980-02-19,Carnaval,segunda-feira
2080,1980-02-20,Carnaval,terça-feira
2080,1980-04-05,Paixão de Cristo,sexta-feira
2080,1980-04-21,Tiradentes,domingo
2080,1980-05-01,Dia do Trabalho,quarta-feira
2080,1980-06-06,Corpus Christi,quinta-feira
2080,1980-09-07,Independência do Brasil,sábado
2080,1980-11-02,Finados,sábado
2080,1980-11-15,Proclamação da República,sexta-feira
2080,1980-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2080,1980-12-25,Natal,quarta-feira
