ano,data,descricao,dia_da_semana
2013,2013-02-12,Carnaval,terça-feira
2013,2013-03-29,Paixão de Cristo,sexta-feira
2013,2013-04-21,Tiradentes,domingo
2013,2013-05-01,Dia do Trabalho,quarta-feira
2013,2013-05-30,Corpus Christi,quinta-feira
2013,2013-09-07,Independência do Brasil,sábado
2013,2013-11-02,Finados,sábado
2013,2013-11-15,Proclamação da República,sexta-feira
2013,2013-12-25,Natal,quarta-feira
2014,2014-01-01,Confraternização Universal,quarta-feira
2014,2014-03-03,Carnaval,segunda-feira
2014,2014-03-04,Carnaval,terça-feira
2014,2014-04-18,Paixão de Cristo,sexta-feira
2014,2014-04-21,Tiradentes,segunda-feira
2014,2014-05-01,Dia do Trabalho,quinta-feira
2014,2014-06-19,Corpus Christi,quinta-feira
2014,2014-09-07,Independência do Brasil,domingo
2014,2014-11-02,Finados,domingo
2014,2014-11-15,Proclamação da República,sábado
2014,2014-12-25,Natal,quinta-feira
2015,2015-01-01,Confraternização Universal,quinta-feira
2015,2015-02-16,Carnaval,segunda-feira
2015,2015-02-17,Carnaval,terça-feira
2015,2015-04-03,Paixão de Cristo,sexta-feira
2015,2015-04-21,Tiradentes,terça-feira
2015,2015-05-01,Dia do Trabalho,sexta-feira
2015,2015-06-04,Corpus Christi,quinta-feira
2015,2015-09-07,Independência do Brasil,segunda-feira
2015,2015-11-02,Finados,segunda-feira
2015,2015-11-15,Proclamação da República,domingo
2015,2015-12-25,Natal,sexta-feira
2016,2016-01-01,Confraternização Universal,sexta-feira
2016,2016-02-08,Carnaval,segunda-feira
2016,2016-02-09,Carnaval,terça-feira
2016,2016-03-25,Paixão de Cristo,sexta-feira
2016,2016-04-21,Tiradentes,quinta-feira
2016,2016-05-01,Dia do Trabalho,domingo
2016,2016-05-26,Corpus Christi,quinta-feira
2016,2016-09-07,Independência do Brasil,quarta-feira
2016,2016-11-02,Finados,quarta-feira
2016,2016-11-15,Proclamação da República,terça-feira
2016,2016-12-25,Natal,domingo
2017,2017-01-01,Confraternização Universal,domingo
2017,2017-02-27,Carnaval,segunda-feira
2017,2017-02-28,Carnaval,terça-feira
2017,2017-04-14,Paixão de Cristo,sexta-feira
2017,2017-04-21,Tiradentes,sexta-feira
2017,2017-05-01,Dia do Trabalho,segunda-feira
2017,2017-06-15,Corpus Christi,quinta-feira
2017,2017-09-07,Independência do Brasil,quinta-feira
2017,2017-11-02,Finados,quinta-feira
2017,2017-11-15,Proclamação da República,quarta-feira
2017,2017-12-25,Natal,segunda-feira
2018,2018-01-01,Confraternização Universal,segunda-feira
2018,2018-02-12,Carnaval,segunda-feira
2018,2018-02-13,Carnaval,terça-feira
2018,2018-03-30,Paixão de Cristo,sexta-feira
2018,2018-04-21,Tiradentes,sábado
2018,2018-05-01,Dia do Trabalho,terça-feira
2018,2018-05-31,Corpus Christi,quinta-feira
2018,2018-09-07,Independência do Brasil,sexta-feira
2018,2018-11-02,Finados,sexta-feira
2018,2018-11-15,Proclamação da República,quinta-feira
2018,2018-12-25,Natal,terça-feira
2019,2019-01-01,Confraternização Universal,terça-feira
2019,2019-03-04,Carnaval,segunda-feira
2019,2019-03-05,Carnaval,terça-feira
2019,2019-04-19,Paixão de Cristo,sexta-feira
2019,2019-04-21,Tiradentes,domingo
2019,2019-05-01,Dia do Trabalho,quarta-feira
2019,2019-06-20,Corpus Christi,quinta-feira
2019,2019-09-07,Independência do Brasil,sábado
2019,2019-11-02,Finados,sábado
2019,2019-11-15,Proclamação da República,sexta-feira
2019,2019-12-25,Natal,quarta-feira
2020,2020-01-01,Confraternização Universal,quarta-feira
2020,2020-02-24,Carnaval,segunda-feira
2020,2020-02-25,Carnaval,terça-feira
2020,2020-04-10,Paixão de Cristo,sexta-feira
2020,2020-04-21,Tiradentes,terça-feira
2020,2020-05-01,Dia do Trabalho,sexta-feira
2020,2020-06-11,Corpus Christi,quinta-feira
2020,2020-09-07,Independência do Brasil,segunda-feira
2020,2020-11-02,Finados,segunda-feira
2020,2020-11-15,Proclamação da República,domingo
2020,2020-12-25,Natal,sexta-feira
2021,2021-01-01,Confraternização Universal,sexta-feira
2021,2021-02-15,Carnaval,segunda-feira
2021,2021-02-16,Carnaval,terça-feira
